accuracy,loss,val_accuracy,val_loss
0.26842838525772095,2.268280267715454,0.2874999940395355,2.2076289653778076
0.32823365926742554,2.102539300918579,0.2874999940395355,1.9728319644927979
0.33518776297569275,1.8520618677139282,0.2874999940395355,1.8199020624160767
0.3657858073711395,1.7262123823165894,0.2874999940395355,1.7255313396453857
0.42002782225608826,1.6006464958190918,0.36250001192092896,1.620032548904419
0.45757997035980225,1.4856748580932617,0.44999998807907104,1.5375678539276123
0.5062586665153503,1.4052529335021973,0.42500001192092896,1.4946205615997314
0.5354658961296082,1.3227789402008057,0.4625000059604645,1.4527722597122192
0.5257301926612854,1.2788889408111572,0.5,1.4105676412582397
0.5465924739837646,1.2237193584442139,0.4625000059604645,1.4156839847564697
0.5521557927131653,1.1939780712127686,0.48750001192092896,1.386300802230835
0.584144651889801,1.1231802701950073,0.4749999940395355,1.3638005256652832
0.5952712297439575,1.0995240211486816,0.4749999940395355,1.339388370513916
0.6063977479934692,1.0740543603897095,0.512499988079071,1.3489437103271484
0.6369958519935608,1.0445938110351562,0.512499988079071,1.2865355014801025
0.6453407406806946,0.9923655986785889,0.5249999761581421,1.3343944549560547
0.6397774815559387,0.9971659779548645,0.5249999761581421,1.317157506942749
0.65785813331604,0.9363672137260437,0.574999988079071,1.2746092081069946
0.680111289024353,0.8970803022384644,0.5874999761581421,1.257129430770874
0.6842837333679199,0.9027451872825623,0.625,1.2301130294799805
0.6912378072738647,0.8898547291755676,0.612500011920929,1.209660291671753
0.7093185186386108,0.8293130397796631,0.625,1.2649023532867432
0.7093185186386108,0.8232503533363342,0.625,1.2324285507202148
0.7093185186386108,0.8072594404220581,0.637499988079071,1.2994555234909058
0.7134909629821777,0.7739077806472778,0.625,1.2644140720367432
0.7482614517211914,0.7201096415519714,0.6499999761581421,1.2540768384933472
0.7287899851799011,0.7348476052284241,0.625,1.3112175464630127
0.7454798221588135,0.6963884830474854,0.625,1.2895586490631104
0.7524339556694031,0.6763097047805786,0.625,1.313060998916626
0.7691237926483154,0.6742867231369019,0.6000000238418579,1.322462797164917
0.7705146074295044,0.6595782041549683,0.625,1.3306182622909546
0.7621696591377258,0.648850679397583,0.625,1.305743932723999
0.7607788443565369,0.6477139592170715,0.625,1.3104283809661865
0.7802503705024719,0.6224575638771057,0.625,1.4179885387420654
0.7732962369918823,0.6317463517189026,0.625,1.3652818202972412
0.7885952591896057,0.5999237895011902,0.637499988079071,1.3846979141235352
0.7927677035331726,0.5900890231132507,0.6499999761581421,1.3579139709472656
0.8122392296791077,0.5661545991897583,0.637499988079071,1.3881088495254517
0.7997218370437622,0.5455943942070007,0.637499988079071,1.3788211345672607
0.8025034666061401,0.545602023601532,0.6499999761581421,1.4355710744857788
0.8136300444602966,0.535602867603302,0.612500011920929,1.3811585903167725
0.8038942813873291,0.5367336869239807,0.675000011920929,1.5010335445404053
0.8038942813873291,0.5352591276168823,0.612500011920929,1.4023226499557495
0.8080667853355408,0.5259934067726135,0.625,1.44938325881958
0.830319881439209,0.47515669465065,0.637499988079071,1.4605909585952759
0.827538251876831,0.4814707338809967,0.637499988079071,1.4168126583099365
0.8233658075332642,0.4588422179222107,0.637499988079071,1.497233271598816
0.8567454814910889,0.4630346894264221,0.6000000238418579,1.5207927227020264
0.8484005331993103,0.44080138206481934,0.6499999761581421,1.5098421573638916
0.8344923257827759,0.4683220386505127,0.637499988079071,1.5044043064117432
